Country,Population(millions),Heart disease Disability(DALYS lost per 1000 population),Heart disease Mortality(number of deaths),Stroke Disability(DALYS lost per 1000 population),Stroke Mortality(number of deaths),Rheumatic heart disease(number of deaths),Percentage of smokers men,Percentage of smokers women,Diabetes(percentage),Number of publications,Legal status of smoking,Country
Honduras,6781,10,4544,8,2786,79,,,2.7,,unknown,Honduras
Hungary,9923,13,29502,8,17148,354,47.2,27.7,4.4,103,banned,Hungary
Iceland,287,5,416,3,189,3,26.5,27.1,3.2,9,banned,Iceland
India,1049549,20,1531534,10,771067,103913,34.6,3.4,5.5,294,banned,India
Indonesia,217131,14,220372,8,123684,11660,59.8,5.3,6.7,4,restricted,Indonesia
"Iran, Isl. Rep.",68070,17,81983,8,31768,1138,33.4,3.5,6.0,,banned,"Iran, Isl. Rep."
Iraq,24510,19,22036,8,8291,695,,,6.1,1,unknown,Iraq
Ireland,3911,8,6527,4,2650,51,33.8,26.5,3.2,142,restricted,Ireland
Israel,6304,4,5705,3,2233,170,35.8,19.7,6.7,634,banned,Israel
Italy,57482,4,92928,4,69075,1790,37.9,29.7,9.2,1976,banned,Italy
Jamaica,2627,5,1877,11,3559,59,56.1,21.2,5.4,23,not regulated,Jamaica
Japan,127478,3,90196,5,134952,2585,52.5,12.4,6.7,3769,restricted,Japan
Jordan,5329,13,3788,6,1428,127,66.8,5.3,8.1,6,banned,Jordan
Kazakhstan,15469,28,51948,17,26874,919,57.5,6.4,4.4,3,restricted,Kazakhstan
Kenya,31540,9,13661,10,14843,360,66.3,27.3,1.4,,not regulated,Kenya
Kiribati,87,1,7,18,81,0,,,8.6,,not regulated,Kiribati
"Korea, Dem. People’s Rep. of",22541,13,26953,8,14337,1317,,,2.5,,unknown,"Korea, Dem. People’s Rep. of"
"Korea, Republic of",47430,3,15811,9,46151,202,69.5,5.1,5.6,19,restricted,"Korea, Republic of"
Kuwait,2443,10,940,3,213,7,35.7,2.7,9.8,17,restricted,Kuwait
Kyrgyzstan,5067,22,10850,22,8366,351,64.1,41.4,3.6,,not regulated,Kyrgyzstan
Lao People’s Dem. Rep.,5529,19,5539,12,3620,484,68.9,16.1,1.8,,restricted,Lao People’s Dem. Rep.
Latvia,2329,17,9928,12,7278,109,64.5,29.2,4.5,1,restricted,Latvia
Lebanon,3596,17,5471,7,2072,119,60.7,46.9,7.0,65,restricted,Lebanon
Lesotho,1800,9,1200,11,1299,24,,,3.1,,unknown,Lesotho
Liberia,3239,12,1442,14,1559,130,,,3.1,,unknown,Liberia
Libyan Arab Jamahiriya,5445,15,5309,6,1762,130,,,3.1,,banned,Libyan Arab Jamahiriya
Lithuania,3465,16,14662,7,5089,186,46.4,15.9,4.2,5,restricted,Lithuania
Luxembourg,447,4,455,5,390,0,41.4,30.2,3.6,3,restricted,Luxembourg
"Macedonia, Former Yugos. Rep. of",2046,9,2544,13,3772,41,,,3.8,5,banned,"Macedonia, Former Yugos. Rep. of"
Madagascar,16916,10,8327,11,9020,609,,,1.4,2,not regulated,Madagascar
Malawi,11871,10,6773,11,7249,106,31.0,7.4,1.1,1,not regulated,Malawi
Malaysia,23965,8,13445,7,10169,464,52.4,3.0,7.6,16,banned,Malaysia
Maldives,309,17,282,10,152,16,,,5.0,,banned,Maldives
Mali,12623,11,5406,13,5946,478,26.9,4.7,2.9,,restricted,Mali
Malta,393,9,865,4,338,6,,,13.9,5,not regulated,Malta
Marshall Islands,52,20,57,20,54,2,,,8.6,9,banned,Marshall Islands
Mauritania,2807,11,1640,13,1756,111,25.0,4.3,2.8,,not regulated,Mauritania
Mauritius,1210,18,2034,11,1235,5,54.7,3.1,14.6,2,restricted,Mauritius
